method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
dpmlm_shap,"{'epsilon': 100, 'k': 5}",,0.4622009667344138,0.32043911177769446,0.8675078864353313,0.8722397476340694,0.1288546720866337,0.1288546720866337,51.09852025578773,0.3132767963779374,0.35324052874170064
dpmlm_shap,"{'epsilon': 100, 'k': 5}",test,0.4114523149622843,0.2755905511811024,,0.8503937007874017,0.3308434801635656,,,,
dpmlm_shap,"{'epsilon': 100, 'k': 7}",,0.4204677028937727,0.2889430487855685,0.8682965299684543,0.8588328075709779,0.13508457542405894,0.13508457542405894,55.626918785788874,0.331028224631124,0.40141078247786033
dpmlm_shap,"{'epsilon': 100, 'k': 7}",test,0.39163275404865855,0.2677165354330709,,0.8267716535433071,0.36426829771568325,,,,
dpmlm_shap,"{'epsilon': 100, 'k': 10}",,0.38132250815921026,0.254822313877432,0.8651419558359621,0.8430599369085173,0.14110375616452672,0.14110375616452672,59.84026025236593,0.41225892370815115,0.44265285001216725
dpmlm_shap,"{'epsilon': 100, 'k': 10}",test,0.3565214321530524,0.2362204724409449,,0.8188976377952756,0.4021973602798688,,,,
dpmlm_shap,"{'epsilon': 100, 'lambda': 0.99}",,0.6752519808678628,0.5761154855643045,0.9755520504731862,0.9526813880126183,0.08148817102239711,0.08148817102239711,8.750797963422238,0.08013943292194003,0.22074012772479723
dpmlm_shap,"{'epsilon': 100, 'lambda': 0.98}",,0.6184719092712142,0.5076657084531101,0.9605678233438486,0.9313880126182965,0.0876025657877561,0.0876025657877561,10.471349036633086,0.1565371274292883,0.27002858829838405
dpmlm_shap,"{'epsilon': 100, 'lambda': 0.95}",,0.5495047793967759,0.42880056659584226,0.8651419558359621,0.8241324921135647,0.10161537402059753,0.10161537402059753,11.668660322352155,0.17940547920903516,0.25174616632449365
dpmlm_shap,"{'epsilon': 100, 'lambda': 0.9}",,0.531291176589614,0.42090572011831856,0.8351735015772871,0.749211356466877,0.11105324452513776,0.11105324452513776,12.147118551267484,0.07339635633431423,0.24209353573432457
dpmlm_shap,"{'epsilon': 100, 'lambda': 0.8}",,0.5146348933413313,0.40774069907928173,0.8138801261829653,0.7263406940063092,0.11439167642348949,0.11439167642348949,12.462531545741324,0.1269304054717432,0.23945209461513872
dpmlm_shap,"{'epsilon': 100, 'rho': 0.9}",,0.6600353512327942,0.5549514644002833,0.9692429022082019,0.9503154574132492,0.08581698967925382,0.08581698967925382,10.90483002976871,0.09833944180083964,0.2316281175574859
dpmlm_shap,"{'epsilon': 100, 'rho': 0.8}",,0.580873741110338,0.4813148356455443,0.944794952681388,0.9353312302839116,0.09903598022103685,0.09903598022103685,15.667813475883715,0.1679228247824859,0.2967452449358956
dpmlm_shap,"{'epsilon': 100, 'rho': 0.7}",,0.5313285244707585,0.4286755822188893,0.8966876971608833,0.9148264984227129,0.11147418651106981,0.11147418651106981,20.47612231108405,0.2565183481496048,0.3043017400544338
dpmlm_shap,"{'epsilon': 100, 'rho': 0.6}",,0.4938923965190751,0.3944923551222764,0.9124605678233438,0.8974763406940063,0.123828763982475,0.123828763982475,25.239751649433945,0.2848161753732638,0.36275784585068394
dpmlm_shap,"{'epsilon': 100, 'rho': 0.5}",,0.4625406145903992,0.35764279465066867,0.9053627760252366,0.8793375394321766,0.13550606066778254,0.13550606066778254,29.908031014828783,0.3276279225311794,0.3911630490812641
dpmlm_shap,"{'epsilon': 100, 'rho': 0.4}",,0.39104737575222065,0.28400616589592964,0.8714511041009464,0.8541009463722398,0.14734602479810593,0.14734602479810593,34.53906987147141,0.389283240743516,0.43799865682960365
dpmlm_shap,"{'epsilon': 100, 'rho': 0.3}",,0.36379577846486244,0.2550514519018456,0.8698738170347003,0.8194006309148265,0.15993924216846186,0.15993924216846186,39.120346436172234,0.3836298488234811,0.4673362598165237
dpmlm_shap,"{'epsilon': 100, 'rho': 0.2}",,0.3467737846600949,0.2445111027788193,0.8572555205047319,0.804416403785489,0.17394511735401696,0.17394511735401696,43.68943643175361,0.36819485121573203,0.47388887381316097
dpmlm_shap,"{'epsilon': 100, 'rho': 0.1}",,0.29095602826949546,0.1998291880181644,0.830441640378549,0.7602523659305994,0.1893405684619578,0.1893405684619578,48.26476340694006,0.41488761300065785,0.5101137243471932
dpmlm_shap,{'epsilon': 250},,0.3034039818508418,0.21032787568220637,0.8343848580441641,0.749211356466877,0.1898117669878604,0.1898117669878604,53.63281545741325,0.4319612823429749,0.49997425409520824
dpmlm_shap,"{'epsilon': 250, 'k': 2}",,0.5940430528605369,0.4202183060450777,0.9345425867507886,0.9100946372239748,0.10758542083791378,0.10758542083791378,26.72140562057484,0.1884785142785693,0.2714214254667596
dpmlm_shap,"{'epsilon': 250, 'k': 2}",test,0.5511029202239228,0.3228346456692913,,0.889763779527559,0.19792338623458935,,,,
