method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
dpmlm_shap,"{'epsilon': 50, 'k': 7}",test,0.20473841810913057,0.43905055622844963,,0.07086614173228346,0.3228346456692913,,,,0.84251968503937,2.256490469062211,,,0.3541185286705449,
dpmlm_shap,"{'epsilon': 50, 'k': 10}",test,0.18964115288247782,0.42186725305873757,,0.07874015748031496,0.31496062992125984,,,,0.8267716535433071,2.240027365505143,,,0.40553037620412674,
dpmlm_shap,"{'epsilon': 100, 'k': 2}",test,0.4420971581694139,0.6480255839165392,,0.08661417322834646,0.5511811023622047,,,,0.889763779527559,2.453786894764753,,,0.18452643102047964,
dpmlm_shap,"{'epsilon': 100, 'k': 3}",test,0.35315814361547043,0.5837114753719612,,0.11023622047244094,0.4881889763779528,,,,0.858267716535433,2.42407542594047,,,0.252501295688869,
dpmlm_shap,"{'epsilon': 100, 'k': 5}",test,0.2909318309954569,0.5319727989291118,,0.11023622047244094,0.4409448818897638,,,,0.8503937007874017,2.381278897309618,,,0.3308434801635656,
dpmlm_shap,"{'epsilon': 100, 'k': 7}",test,0.2651352593712577,0.5181302487260594,,0.11023622047244094,0.4251968503937008,,,,0.8267716535433071,2.3169728504205516,,,0.36426829771568325,
dpmlm_shap,"{'epsilon': 100, 'k': 10}",test,0.2505192977465664,0.46252356655953836,,0.11023622047244094,0.36220472440944884,,,,0.8188976377952756,2.2800753446420217,,,0.4021973602798688,
dpmlm_shap,"{'epsilon': 250, 'k': 2}",test,0.4588414452240299,0.6433643952238158,,0.11811023622047244,0.5275590551181102,,,,0.889763779527559,2.377351781368335,,,0.19792338623458935,
dpmlm_shap,"{'epsilon': 250, 'k': 3}",test,0.3933558809195679,0.5824666604358031,,0.1732283464566929,0.4645669291338583,,,,0.889763779527559,2.3521704354837145,,,0.25853235725442913,
dpmlm_shap,"{'epsilon': 250, 'k': 5}",test,0.3407903799288699,0.5406588432955515,,0.18110236220472442,0.41732283464566927,,,,0.858267716535433,2.3246175336885107,,,0.33063825165825234,
